group,model,mmlu_5shot_acc,mmlu_5shot_acc_stderr,pile10k_bpb,pile10k_word_ppl,c4_bpb,c4_word_ppl,lm_result_file,mmlu_result_file
Nemotron-all,nemotron-all-20250908-new-seed21,0.2597208374875374,0.0036915714553057886,1.1518517254367908,210.22081145448985,0.9194338601847261,45.35444318504638,eval_results_0711_2026-07-10T19-00-35.989985.json,eval_results_mmlu_5shot_0711_2026-07-10T17-51-12.437007.json
DSIR,hhy-score-DSIR-173B-20250920,0.24896738356359494,0.0036426027557000975,1.0998117957883073,165.09681471149656,0.9791455113674434,58.10416275601507,eval_results_0711_2026-07-10T17-52-01.837471.json,eval_results_mmlu_5shot_0711_2026-07-10T17-05-05.542221.json
DSIR,hhy-score-DSIR-173B-20250920we-8node,0.24455205811138014,0.003622048970071261,1.1578172392997204,216.12499408559665,0.9843566145130683,59.37402925371568,eval_results_0711_2026-07-10T17-51-54.860935.json,eval_results_mmlu_5shot_0711_2026-07-10T17-04-58.337866.json
PPL,hhy-ppl-100B-20250918,0.28856288278023073,0.0038068353582171592,1.099020638089124,164.49145709176383,0.9824878039111262,58.91546799876497,eval_results_0711_2026-07-10T17-52-04.144186.json,eval_results_mmlu_5shot_0711_2026-07-10T16-55-45.635887.json
PPL,hhy-ppl-725B-20250918,0.2636376584532118,0.0037051553000426066,1.1271715037057541,187.46006118455855,0.9506314795842905,51.62156468608549,eval_results_0711_2026-07-10T17-52-34.951386.json,eval_results_mmlu_5shot_0711_2026-07-10T16-55-39.598061.json
Random,hhy-score-random-data-20250814,0.2724683093576414,0.003751308101119268,1.1628961205608324,221.2821648837868,0.9436126005636343,50.14003938821355,eval_results_0711_2026-07-10T17-51-41.637672.json,eval_results_mmlu_5shot_0711_2026-07-10T17-14-08.431287.json
Average,average-2point88-700B-0911,0.258082894174619,0.003677779157349719,1.2528015584035068,335.9217531525317,1.0080742533118223,65.51346180583381,eval_results_0711_2026-07-10T17-52-04.387367.json,eval_results_mmlu_5shot_0711_2026-07-10T16-55-48.838240.json
Score-all,hhy-score-all-2point9-20250811,0.26613018088591367,0.0037180426713281475,1.242905094371556,320.83533614028863,1.0104061317331532,66.15034086301186,eval_results_0711_2026-07-10T17-51-43.357170.json,eval_results_mmlu_5shot_0711_2026-07-10T17-04-52.782091.json
Score-all,hhy-score-all-3point18-20250814,0.25986326734083465,0.0036926923200762494,1.468052040591544,912.6084871547669,1.1166803422724474,102.80520399210107,eval_results_0711_2026-07-10T17-52-15.859046.json,eval_results_mmlu_5shot_0711_2026-07-10T17-14-17.395426.json
domain-format,domain-format-1125,0.27830793334282866,0.003769119562344974,1.1612452487818394,219.5924865313211,0.9351140082490772,48.402975033527994,eval_results_0711_2026-07-10T18-59-42.744283.json,eval_results_mmlu_5shot_0711_2026-07-10T17-59-59.373022.json
domain-topic,domain-topic-1125,0.2721122347243982,0.003743765219917619,1.1639582513553846,222.37612986411372,0.9411571650732715,49.63185531449087,eval_results_0711_2026-07-10T18-58-04.510617.json,eval_results_mmlu_5shot_0711_2026-07-10T18-00-05.702305.json
semdedup,semdedup-1125-4node,0.26378008830650906,0.003712925312658325,1.2023932472874022,265.82218651315446,0.9576713367513647,53.15149146693601,eval_results_0711_2026-07-10T18-58-17.621168.json,eval_results_mmlu_5shot_0711_2026-07-10T18-00-28.192737.json
ori-dimension-direct,ori-dimension-direct-1125-4node,0.28692493946731235,0.003803741706940695,1.1064955689869476,170.30065948118715,0.9802789780632344,58.378039776953855,eval_results_0711_2026-07-10T18-58-57.259796.json,eval_results_mmlu_5shot_0711_2026-07-10T17-50-46.043964.json
ori-dimension-merge,ori-dimension-merge-1125-4node,0.26299672411337416,0.003703223621043382,1.0965825150667832,162.63984175605265,0.9887931487581917,60.4769933585873,eval_results_0711_2026-07-10T18-58-44.152659.json,eval_results_mmlu_5shot_0711_2026-07-10T17-50-49.643848.json
