Method,Global Batch,Model Size,Training status,Filter Percentage (Document),Filter Percentage (Token),Filter Amount (Token),Training Amount (Token),arc_challenge​,​,arc_easy​,​,commonsense_qa,hellaswag​,​,MMLU,MMLU-continuation,MMLU-generative,openbookqa​,​,piqa,,race​,,sciq​,​,social_iqa​,,winogrande​,,Average(Acc),Average(Acc_norm),Average(ACC)v2,Average(Acc_norm)v2,,,
PC1-4.0,512,1.5B,DONE,3.20%,6.10%,121B,100B,0.3507,0.3635,0.6860,0.6035,0.1704,0.3506,0.4309,0.2723,0.3393,0.1544,0.2360,0.3480,0.6551,0.6436,0.3263,0.3598,0.8730,0.8110,0.3864,0.4289,0.5414,0.5304,0.4407,0.5022,0.5831,0.5705,,,
PC2-3.85,512,1.5B,DONE,12.59%,5.50%,112B,100B,0.2833,0.3072,0.5703,0.5097,0.217,0.4347,0.5567,0.2563,0.2883,,0.228,0.34,0.7486,0.753,0.3282,0.3483,0.79,0.727,0.413,0.4483,0.5375,0.5406,0.4370,0.5034,0.5654,0.5707,,,
PC3-3.35,512,,DONE,2.26%,5.13%,103B,100B,0.3089,0.3311,0.6065,0.5551,0.2482,0.4697,0.6178,0.2696,,,0.23,0.364,0.7791,0.7845,0.3234,0.356,0.803,0.741,0.4063,0.4386,0.5359,0.5328,0.4528,0.5245,0.5934,0.6059,,,
PC4-2.86,512,,DONE,11.5%(Approx),5.19%,105B,100B,0.3959,0.4053,0.7475,0.7041,0.2113,0.357,0.4484,0.2615,0.3641,0.2327,0.25,0.338,0.6882,0.6855,0.3244,0.3416,0.91,0.879,0.3915,0.435,0.5541,0.5485,0.4629,0.5317,0.6197,0.6245,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline - Single Dimension - Top & Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC1-3.4,512,,DONE,31.90%,44.80%,896B,100B,0.3703,0.3951,0.7075,0.6519,0.2031,0.4229,0.5464,0.2755,,,0.264,0.378,0.7155,0.7116,0.3493,0.3579,0.908,0.863,0.4176,0.4324,0.5667,0.5509,0.4728,0.5430,0.6248,0.6336,,,
PC1-3.54,512,,DONE,23%（Approx),35.99%,727B,100B,0.3763,0.3976,0.7151,0.6519,0.2023,0.4096,0.5255,0.2661,0.3393,0.2591,0.266,0.362,0.7073,0.7073,0.3483,0.3665,0.902,0.839,0.4125,0.4417,0.5541,0.5462,0.4691,0.5375,0.6221,0.6243,,,
PC2-3.5,512,,DONE,44.55%,27.60%,552B,100B,0.3285,0.3584,0.6486,0.5888,,0.4477,0.582,,,,0.246,0.37,,,0.3512,0.3598,0.85,0.778,0.411,0.4463,0.5462,0.5643,0.4787,0.5060,0.5687,0.5768,,,
PC2-3.4,512,,DONE,54.42%,36.85%,737B,100B,0.3276,0.3635,0.6633,0.5846,0.2113,0.4453,0.5689,0.2554,,,0.248,0.374,0.7465,0.7465,0.3502,0.3665,0.848,0.78,0.4156,0.4509,0.5651,0.562,0.4615,0.5330,0.6061,0.6087,,,
PC2-3.3,512,,DONE,63.26%,48.77%,932B,100B,0.3473,0.3686,0.6919,0.6103,0.2195,0.4492,0.5759,0.2561,0.3267,,0.252,0.372,0.7416,0.7448,0.3541,0.3684,0.84,0.765,0.413,0.4437,0.5651,0.5556,0.4663,0.5338,0.6140,0.6129,,,
PC3-2.4,384,,DONE,44.00%,46.85%,937B,100B,0.3720,0.3805,0.7176,0.6549,,0.4747,0.6252,,,,0.2640,0.3840,,,0.3340,0.3779,0.9010,0.8620,0.4319,0.4591,0.5817,0.5588,0.5096,0.5378,0.6163,0.6307,,,
PC3-2.4,512,,DONE,44.00%,46.85%,937B,100B,0.3618,0.3686,0.6898,0.6557,0.1966,0.4643,0.6112,0.2698,0.3188,0.2543,0.2560,0.3680,0.7497,0.7579,0.3455,0.3665,0.8930,0.8460,0.4135,0.4498,0.5706,0.5470,0.4737,0.5523,0.6317,0.6479,,,
PC3-2.57,512,,DONE,35.35%,37.23%,754B,100B,0.3549,0.3737,0.6923,0.6296,0.2031,0.4677,0.6137,0.2714,,,0.246,0.346,0.7563,0.7628,0.3397,0.3799,0.881,0.843,0.4258,0.4509,0.5596,0.562,0.4725,0.5513,0.6304,0.6446,,,
PC4-2.4,512,,DONE,51.70%,34.05%,681B,100B,0.3823,0.3976,0.7378,0.702,0.2007,0.4059,0.5266,0.2651,,0.2502,0.264,0.39,0.7242,0.7165,0.3426,0.3608,0.91,0.865,0.4115,0.4483,0.5375,0.5320,0.4711,0.5488,0.6320,0.6415,,,
PC4-2.3,512,,DONE,63.54%,45.69%,923B,100B,0.3823,0.4087,0.7302,0.686,0.2023,0.4132,0.5356,0.2711,0.3479,,0.272,0.364,0.7236,0.7318,0.3321,0.3541,0.92,0.861,0.4089,0.4596,0.5627,0.5541,0.4744,0.5505,0.6339,0.6446,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline - Multiple Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top-Mix-50B/per model (PC1-121B->50B, PC2-54B, PC3-84B->50B, PC4-45B)",512,,DONE,,,,100B,0.378,0.4113,0.729,0.6738,0.217,0.455,0.5954,0.2681,0.3466,0.2388,0.268,0.384,0.7622,0.7644,0.3388,0.3598,0.907,0.857,0.4181,0.4498,0.5493,0.5462,0.4810,0.5602,0.6462,0.6604,,,
"Top-Mix-50B/per model (PC1-60.2B, PC2-54.20B, PC3-55.57B, PC4-45.81B)",512,,DONE,,,215.8B,100B,0.3763,0.3925,0.7189,0.6553,0.2277,0.4501,0.5903,0.2686,,0.3504,0.244,0.348,0.7699,0.7677,0.3368,0.355,0.904,0.853,0.4089,0.4417,0.5612,0.5399,0.4788,0.5493,0.6438,0.6518,,,
Average大概900B,512,,DONE,,,,,0.3814,0.4104,0.7306,0.6692,0.1966,0.4507,0.5896,0.257,,,0.262,0.364,0.7437,0.7622,0.334,0.3598,0.889,0.841,0.4191,0.4442,0.5699,0.562,0.4758,0.5558,0.6391,0.6545,,,
800B,,,DONE,,,,,0.3712,0.3848,0.7096,0.6507,0.1884,0.4514,0.5858,0.2671,,,0.27,0.376,0.7481,0.7503,0.3368,0.3646,0.88,0.824,0.413,0.436,0.5383,0.5359,0.4704,0.5453,0.6321,0.6391,,,
Average-2.9,512,,DONE,38.10%,35.75%,715B,100B,0.3652,0.3814,0.7109,0.6402,0.2048,0.4484,0.5818,0.2599,0.3345,0.2,0.254,0.368,0.7454,0.7465,0.334,0.3589,0.88,0.831,0.4217,0.4555,0.5643,0.5478,0.4717,0.5457,0.6300,0.6362,,,
700B,,,,,,,,0.378,0.3916,0.7113,0.6481,0.1957,0.4486,0.5892,0.2458,,,0.258,0.392,0.7514,0.7514,0.3244,0.355,0.876,0.806,0.4161,0.4401,0.5596,0.5462,0.4695,0.5466,0.6331,0.6373,,,
600B,,,,,,,,0.384,0.401,0.7201,0.6469,0.1966,0.454,0.5915,0.2582,,,0.282,0.378,0.7481,0.7476,0.3407,0.3732,0.866,0.813,0.4084,0.4422,0.5454,0.532,0.4730,0.5473,0.6344,0.6400,,,
Average大概500B,512,,DONE,,,,,0.3618,0.3823,0.7066,0.6427,0.1974,0.4476,0.5832,0.2362,,,0.268,0.366,0.7486,0.7476,0.3359,0.3579,0.865,0.813,0.412,0.4371,0.5533,0.543,0.4666,0.5414,0.6259,0.6338,,,
400B,,,DONE,,,,,0.372,0.3942,0.7033,0.6153,0.2015,0.4464,0.5832,0.263,,,0.242,0.37,0.7552,0.7579,0.3435,0.3512,0.861,0.81,0.4074,0.4263,0.5462,0.5391,0.4674,0.5386,0.6276,0.6321,,,
Average大概300B,512,,DONE,,,,,0.3643,0.378,0.7054,0.6288,0.1957,0.4421,0.5754,0.2374,,,0.254,0.36,0.7492,0.7552,0.3177,0.3416,0.843,0.781,0.4135,0.4381,0.5485,0.5525,0.4610,0.5345,0.6208,0.6237,,,
200B,,,,,,,,0.3422,0.3618,0.6755,0.604,0.2252,0.4372,0.5692,0.2649,,,0.24,0.372,0.7584,0.7595,0.3081,0.3522,0.834,0.784,0.3956,0.4314,0.5478,0.5549,0.4572,0.5321,0.6095,0.6157,,,
Average-3.18,512,,DONE,5%(Approx),6.86%,137B,100B,0.3328,0.3532,0.6423,0.5791,0.1957,0.4201,0.5332,0.2523,,0.0445,0.22,0.34,0.7421,0.7448,0.3033,0.3359,0.788,0.719,0.3818,0.4222,0.5201,0.5201,0.4362,0.5053,0.5851,0.5859,,,
"Top-Mix-50B/per model (PC1-60.2B, PC2-54.20B, PC3-55.57B, PC4-45.81B, remove duplicates)",512,,DONE,,,204.2B,100B,0.3686,0.4044,0.7277,0.665,0.2179,0.4448,0.5842,0.2483,0.3462,0.1635,0.256,0.372,0.7666,0.7715,0.333,0.3455,0.906,0.85,0.4232,0.4524,0.5612,0.5493,0.4776,0.5549,0.6427,0.6550,,,
"Top-Mix-50B/per model (PC1-60.2B, PC2-54.20B, PC3-55.57B, PC4-45.81B, remove duplicates,seed32)",512,,DONE,,,204.2B,100B,0.4087,0.4266,0.7353,0.6738,0.2195,0.4505,0.5842,0.249,,,0.256,0.384,0.7661,0.7764,0.3368,0.3617,0.899,0.861,0.414,0.4575,0.5533,0.5414,0.4807,0.5630,0.6519,0.6644,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-27.67B, PC4-23.58B, remove duplicates)",512,,DONE,,,113.09B,100B,0.3737,0.3865,0.718,0.6532,0.2162,0.4448,0.5797,0.2505,,0.1996,0.246,0.372,0.7688,0.7742,0.3378,0.3483,0.901,0.856,0.411,0.4478,0.5556,0.5414,0.4749,0.5510,0.6413,0.6499,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-32.8B, PC4-30.2B)",512,,DONE,,,128.8B,100B,0.3703,0.3968,0.7151,0.6557,0.1941,0.4478,0.5826,0.2482,0.3425,0.2127,0.248,0.38,0.7671,0.7742,0.3445,0.3493,0.895,0.842,0.413,0.4417,0.5296,0.5288,0.4702,0.5501,0.6391,0.6503,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-32.8B, PC4-30.2B,seed32)",512,,DONE,,,128.8B,100B,0.366,0.3908,0.7163,0.6553,0.199,0.4484,0.5794,0.2401,,,0.254,0.368,0.7671,0.7682,0.3282,0.3483,0.899,0.85,0.4115,0.4529,0.5493,0.5525,0.4708,0.5517,0.6394,0.6487,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-32.8B, PC4-30.2B, remove duplicates)",512,,DONE,,,124.29B,100B,0.3899,0.407,0.721,0.6587,0.2146,0.4492,0.5817,0.2433,,0.1874,0.24,0.384,0.7742,0.7786,0.3397,0.3665,0.911,0.881,0.4222,0.455,0.5596,0.5501,0.4786,0.5625,0.6491,0.6614,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-32.8B, PC4-30.2B, remove duplicates, seed32)",512,,DONE,,,124.29B,100B,0.3754,0.4036,0.7176,0.6553,0.2105,0.4426,0.5665,0.2739,,,0.256,0.372,0.759,0.7644,0.334,0.3598,0.902,0.862,0.4058,0.4514,0.5777,0.5643,0.4777,0.5555,0.6393,0.6504,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-27.67B, PC4-23.58B)",512,,DONE,,,117.05B,100B,0.3601,0.3959,0.7058,0.6507,0.2154,0.4461,0.5788,0.2579,,0.232,0.266,0.354,0.7617,0.772,0.3225,0.3531,0.907,0.868,0.411,0.4458,0.5604,0.5509,0.4740,0.5521,0.6361,0.6531,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline - Multiple Dimension with mixture ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top-Mix- (PC1-70B, PC2-34B, PC3-17.75B, PC4-16.10B, remove duplicates)",512,,DONE,,,136.5B,100B,,,,,,,,,,0.1977,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Top-Mix-Ratio/per model (PC1-70B, PC2-34B, PC3-17.75B, PC4-16.10B)",512,,DONE,,,,100B,0.3746,0.3899,0.7066,0.638,0.208,0.4299,0.5538,0.2609,0.3423,0.222,0.246,0.36,0.7519,0.7492,0.3301,0.3445,0.897,0.856,0.4033,0.435,0.5533,0.5343,0.4692,0.5401,0.6320,0.6374,,,
"Top-Mix-Ratio/per model (PC1-70B, PC2-34B, PC3-17.75B, PC4-16.10B)",512,,DONE,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,
"Top-Mix-100B/per model (PC1-10B, PC2-17.99B, PC3-40B, PC4-45B, remove duplicates)",512,,DONE,,,,,0.3891,0.4096,0.7269,0.6717,0.2228,0.4481,0.5832,0.2642,,,0.252,0.368,0.7666,0.7709,0.3397,0.3435,0.915,0.873,0.4099,0.4545,0.5485,0.5391,0.4803,0.5571,0.6491,0.6617,,,
"Top-Mix- (PC1-10B, PC2-10B, PC3-40B, PC4-45B, remove duplicates)",512,,DONE,,,102B,100B,0.384,0.4096,0.7332,0.6831,0.2179,0.4407,0.5728,0.2705,,,0.268,0.376,0.7666,0.7802,0.3273,0.3397,0.912,0.876,0.4012,0.4437,0.5501,0.5493,0.4792,0.5589,0.6473,0.6643,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-32.8B, PC4-30.2B, PC5-31.03B, PC6-29.79B, remove duplicates, seed32)",512,,DONE,,,170.18B,,0.3908,0.3976,0.7454,0.7054,0.1941,0.4395,0.5742,0.2616,,,0.27,0.384,0.7628,0.7612,0.3426,0.355,0.911,0.856,0.4191,0.4504,0.5635,0.5612,0.4819,0.5606,0.6499,0.6589,,,
"Top-Mix-20B/per model (PC1-18.06B, PC2-17.99B, PC3-21.8B, PC4-21.6B, PC5-20.6B, PC6-19.95B, remove duplicates, seed32)",512,,DONE,,,115.86B,,0.3942,0.4164,0.7513,0.7029,0.2064,0.4365,0.5637,0.2661,,,0.268,0.386,0.7476,0.7579,0.3282,0.3435,0.913,0.882,0.4197,0.4509,0.5422,0.543,0.4794,0.5607,0.6485,0.6646,,,
"Top-Mix-100B/per model (PC1-102B, PC2-112B, PC3-103B, PC4-105B)",512,,DONE,,,,,0.4019,0.3951,0.7323,0.6717,0.1884,0.4486,0.587,0.2803,,,0.256,0.366,0.7633,0.7573,0.3522,0.3665,0.896,0.855,0.412,0.4427,0.5809,0.573,0.4829,0.5571,0.6484,0.6532,,,
Top-Mix-150B/Per model,,,DONE,,,,,0.3865,0.4172,0.7323,0.6776,0.2236,0.4487,0.5881,0.2643,,,0.25,0.368,0.7606,0.7492,0.3455,0.3656,0.893,0.829,0.4145,0.4463,0.5454,0.5525,0.4786,0.5548,0.6442,0.6522,,,
Top-Mix-200B/Per model,,,DONE,,,,,0.3737,0.3993,0.7256,0.6793,0.2129,0.4464,0.582,0.2535,,,0.274,0.364,0.7552,0.7546,0.3464,0.3627,0.89,0.836,0.4099,0.4437,0.543,0.5304,0.4755,0.5502,0.6382,0.6502,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablation- Incremental Dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top-Mix-60B/per model (PC1-59.8B, PC2-60B, remove duplicates, seed32)",512,,DONE,,,,,0.3387,0.3575,0.6843,0.6107,0.19,0.416,0.5372,0.2577,,,0.23,0.364,0.7459,0.7514,0.333,0.3569,0.887,0.83,0.4145,0.4406,0.5691,0.5612,0.4606,0.5344,0.6144,0.6174,,,
"Top-Mix-40B/per model (PC1-40B, PC2-42B, PC3-40B, remove duplicates, seed32)",512,,DONE,,,105.82B,,0.343,0.3635,0.6755,0.609,0.2203,0.4565,0.5936,0.2385,,,0.242,0.358,0.772,0.7748,0.3321,0.356,0.867,0.791,0.4115,0.4591,0.5375,0.5462,0.4633,0.5390,0.6228,0.6264,,,
"Top-Mix-30B/per model (PC1-30.9B, PC2-34.9B, PC3-32.8B, PC4-30.2B, remove duplicates)",512,,DONE,,,124.29B,100B,0.3899,0.407,0.721,0.6587,0.2146,0.4492,0.5817,0.2433,,0.1874,0.24,0.384,0.7742,0.7786,0.3397,0.3665,0.911,0.881,0.4222,0.455,0.5596,0.5501,0.4786,0.5625,0.6491,0.6614,,,
"Top-Mix-24B/per model (PC1-24.17B, PC2-25.91B, PC3-24B, PC4-23.58B, PC5-25.49B, remove duplicates, seed42)",512,,DONE,,,,,0.3669,0.3891,0.729,0.6684,0.2072,0.4425,0.57,0.2689,,,0.244,0.362,0.7579,0.7655,0.3187,0.3483,0.914,0.88,0.4058,0.4432,0.5312,0.5201,0.4715,0.5496,0.6421,0.6546,,,
"Top-Mix-24B/per model (PC1-24.17B, PC2-25.91B, PC3-24B, PC4-23.58B, PC5-25.49B, remove duplicates, seed32)",512,,DONE,,,112.08B,,0.3891,0.3985,0.7226,0.67,0.1933,0.4382,0.5678,0.2723,,,0.232,0.38,0.765,0.7682,0.334,0.3569,0.911,0.879,0.4094,0.4539,0.5406,0.5399,0.4734,0.5571,0.6452,0.6567,,,
"Top-Mix-20B/per model (PC1-18.06B, PC2-17.99B, PC3-21.8B, PC4-21.6B, PC5-20.6B, PC6-19.95B, remove duplicates, seed32)",512,,DONE,,,115.86B,,0.3942,0.4164,0.7513,0.7029,0.2064,0.4365,0.5637,0.2661,,,0.268,0.386,0.7476,0.7579,0.3282,0.3435,0.913,0.882,0.4197,0.4509,0.5422,0.543,0.4794,0.5607,0.6485,0.6646,,,
"Top-Mix-20B/per model (PC1-18.06B, PC2-17.99B, PC3-21.8B, PC4-21.6B, PC5-20.6B, PC6-19.95B, remove duplicates, seed42)",,,,,,,,0.4147,0.4334,0.7521,0.7172,0.2056,0.4291,0.5575,0.2786,,,0.27,0.386,0.7541,0.7617,0.3502,0.3589,0.92,0.861,0.4145,0.4447,0.543,0.528,0.4847,0.5609,0.6540,0.6662,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Rebuttal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random (HQ+medium+medium high)， seed=32,512,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"random(HQ), seed=32",512,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL-top,512,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL-sample,512,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSIR,512,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top-Mix-30B,512,400M,Done,,,120B,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top-Mix-50B,,400M,Done,,,201B,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top-Mix-100B/per model (PC1-102B, PC2-112B, PC3-103B, PC4-105B)",,400M,Done,,,400B,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Top,,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Top-200B,,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Sample,,400M,Done,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random (HQ+medium+medium high)， seed=32,512,8B,,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"random(HQ), seed=32",512,8B,Trainging (SCU),,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL-top,512,8B,,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL-sample,512,8B,Trainging (SCU),,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSIR,512,8B,Trainging (SCU),,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top-Mix-30B,512,8B,Trainging (SCU),,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top-Mix-50B,,8B,Trainging (SCU),,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top-Mix-100B/per model (PC1-102B, PC2-112B, PC3-103B, PC4-105B)",,8B,,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Top,,8B,,,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Sample,,8B,Trainging (SCU),,,,100B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random (HQ+medium+medium high)， seed=32,512,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"random(HQ), seed=32",512,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL-top,512,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL-sample,512,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSIR,512,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top-Mix-30B,512,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top-Mix-50B,,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top-Mix-100B/per model (PC1-102B, PC2-112B, PC3-103B, PC4-105B)",,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Top,,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-Average-Sample,,1.5B,Done,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,400B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
